Location	Noise	Cycle	Activation
3	0.8	81	0.3999998
3	0.8	82	0.39999983
3	0.8	83	0.39999986
3	0.8	84	0.3999999
3	0.8	85	0.39999992
3	0.8	86	0.39999995
3	0.8	87	0.39999998
3	0.8	88	0.4
3	0.8	89	0.4
3	0.8	90	0.4
3	0.8	91	0.4
3	0.8	92	0.4
3	0.8	93	0.4
3	0.8	94	0.4
3	0.8	95	0.4
3	0.8	96	0.4
3	0.8	97	0.4
3	0.8	98	0.4
3	0.8	99	0.4
3	0.9	0	0.0
3	0.9	1	0.0
3	0.9	2	0.0
3	0.9	3	0.0
3	0.9	4	0.0
3	0.9	5	0.0
3	0.9	6	0.0
3	0.9	7	0.0
3	0.9	8	0.0
3	0.9	9	0.0
3	0.9	10	0.0
3	0.9	11	0.0
3	0.9	12	0.0
3	0.9	13	0.0
3	0.9	14	0.0
3	0.9	15	0.0
3	0.9	16	0.0
3	0.9	17	0.0
3	0.9	18	0.0
3	0.9	19	0.0
3	0.9	20	0.0
3	0.9	21	0.0
3	0.9	22	0.0
3	0.9	23	0.0
3	0.9	24	0.0
3	0.9	25	0.0
3	0.9	26	0.0
3	0.9	27	0.0
3	0.9	28	0.0
3	0.9	29	0.0
3	0.9	30	0.0
3	0.9	31	0.0
3	0.9	32	0.1
3	0.9	33	0.17500001
3	0.9	34	0.23125002
3	0.9	35	0.2734375
3	0.9	36	0.30507812
3	0.9	37	0.3288086
3	0.9	38	0.34660646
3	0.9	39	0.35995486
3	0.9	40	0.36996615
3	0.9	41	0.37747464
3	0.9	42	0.38310596
3	0.9	43	0.3873295
3	0.9	44	0.39049712
3	0.9	45	0.39287284
3	0.9	46	0.39465466
3	0.9	47	0.395991
3	0.9	48	0.39699325
3	0.9	49	0.39774495
3	0.9	50	0.3983087
3	0.9	51	0.39873153
3	0.9	52	0.39904866
3	0.9	53	0.3992865
3	0.9	54	0.3994649
3	0.9	55	0.3995987
3	0.9	56	0.399699
3	0.9	57	0.39977425
3	0.9	58	0.3998307
3	0.9	59	0.39987305
3	0.9	60	0.3999048
3	0.9	61	0.3999286
3	0.9	62	0.39994645
3	0.9	63	0.39995983
3	0.9	64	0.3999699
3	0.9	65	0.39997745
3	0.9	66	0.39998308
3	0.9	67	0.3999873
3	0.9	68	0.39999047
3	0.9	69	0.39999285
3	0.9	70	0.39999464
3	0.9	71	0.39999598
3	0.9	72	0.399997
3	0.9	73	0.39999777
3	0.9	74	0.39999834
3	0.9	75	0.39999875
3	0.9	76	0.39999908
3	0.9	77	0.39999932
3	0.9	78	0.3999995
3	0.9	79	0.39999962
3	0.9	80	0.3999997
3	0.9	81	0.3999998
3	0.9	82	0.39999983
3	0.9	83	0.39999986
3	0.9	84	0.3999999
3	0.9	85	0.39999992
3	0.9	86	0.39999995
3	0.9	87	0.39999998
3	0.9	88	0.4
3	0.9	89	0.4
3	0.9	90	0.4
3	0.9	91	0.4
3	0.9	92	0.4
3	0.9	93	0.4
3	0.9	94	0.4
3	0.9	95	0.4
3	0.9	96	0.4
3	0.9	97	0.4
3	0.9	98	0.4
3	0.9	99	0.4
3	1.0	0	0.0
3	1.0	1	0.0
3	1.0	2	0.0
3	1.0	3	0.0
3	1.0	4	0.0
3	1.0	5	0.0
3	1.0	6	0.0
3	1.0	7	0.0
3	1.0	8	0.0
3	1.0	9	0.0
3	1.0	10	0.0
3	1.0	11	0.0
3	1.0	12	0.0
3	1.0	13	0.0
3	1.0	14	0.0
3	1.0	15	0.0
3	1.0	16	0.0
3	1.0	17	0.0
3	1.0	18	0.0
3	1.0	19	0.0
3	1.0	20	0.0
3	1.0	21	0.0
3	1.0	22	0.0
3	1.0	23	0.0
3	1.0	24	0.0
3	1.0	25	0.0
3	1.0	26	0.0
3	1.0	27	0.0
3	1.0	28	0.0
3	1.0	29	0.0
3	1.0	30	0.0
3	1.0	31	0.1
3	1.0	32	0.17500001
3	1.0	33	0.23125002
3	1.0	34	0.2734375
3	1.0	35	0.30507812
3	1.0	36	0.3288086
3	1.0	37	0.34660646
3	1.0	38	0.35995486
3	1.0	39	0.36996615
3	1.0	40	0.37747464
3	1.0	41	0.38310596
3	1.0	42	0.3873295
3	1.0	43	0.39049712
3	1.0	44	0.39287284
3	1.0	45	0.39465466
3	1.0	46	0.395991
3	1.0	47	0.39699325
3	1.0	48	0.39774495
3	1.0	49	0.3983087
3	1.0	50	0.39873153
3	1.0	51	0.39904866
3	1.0	52	0.3992865
3	1.0	53	0.3994649
3	1.0	54	0.3995987
3	1.0	55	0.399699
3	1.0	56	0.39977425
3	1.0	57	0.3998307
3	1.0	58	0.39987305
3	1.0	59	0.3999048
3	1.0	60	0.3999286
3	1.0	61	0.39994645
3	1.0	62	0.39995983
3	1.0	63	0.3999699
3	1.0	64	0.39997745
3	1.0	65	0.39998308
3	1.0	66	0.3999873
3	1.0	67	0.39999047
3	1.0	68	0.39999285
3	1.0	69	0.39999464
3	1.0	70	0.39999598
3	1.0	71	0.399997
3	1.0	72	0.39999777
3	1.0	73	0.39999834
3	1.0	74	0.39999875
3	1.0	75	0.39999908
3	1.0	76	0.39999932
3	1.0	77	0.3999995
3	1.0	78	0.39999962
3	1.0	79	0.3999997
3	1.0	80	0.3999998
3	1.0	81	0.39999983
3	1.0	82	0.39999986
3	1.0	83	0.3999999
3	1.0	84	0.39999992
3	1.0	85	0.39999995
3	1.0	86	0.39999998
3	1.0	87	0.4
3	1.0	88	0.4
3	1.0	89	0.4
3	1.0	90	0.4
3	1.0	91	0.4
3	1.0	92	0.4
3	1.0	93	0.4
3	1.0	94	0.4
3	1.0	95	0.4
3	1.0	96	0.4
3	1.0	97	0.4
3	1.0	98	0.4
3	1.0	99	0.4
6	Intact	0	0.0
6	Intact	1	0.0
6	Intact	2	0.0
6	Intact	3	0.0
6	Intact	4	0.0
6	Intact	5	0.0
6	Intact	6	0.0
6	Intact	7	0.0
6	Intact	8	0.0
6	Intact	9	0.0
6	Intact	10	0.0
6	Intact	11	0.0
6	Intact	12	0.0
6	Intact	13	0.0
6	Intact	14	0.0
6	Intact	15	0.0
6	Intact	16	0.0
6	Intact	17	0.0
6	Intact	18	0.0
6	Intact	19	0.0
6	Intact	20	0.0
6	Intact	21	0.0
6	Intact	22	0.0
6	Intact	23	0.0
6	Intact	24	0.0
6	Intact	25	0.0
6	Intact	26	0.0
6	Intact	27	0.0
6	Intact	28	0.0
6	Intact	29	0.0
6	Intact	30	0.0
6	Intact	31	0.0
6	Intact	32	0.0
6	Intact	33	0.0
6	Intact	34	0.0
6	Intact	35	0.0
6	Intact	36	0.0
6	Intact	37	0.0
6	Intact	38	0.0
6	Intact	39	0.0
6	Intact	40	0.0
6	Intact	41	0.0
6	Intact	42	0.0
6	Intact	43	0.0
6	Intact	44	0.0
6	Intact	45	0.0
6	Intact	46	0.0
6	Intact	47	0.0
6	Intact	48	0.0
6	Intact	49	0.0
6	Intact	50	0.0
6	Intact	51	0.0
6	Intact	52	0.0
6	Intact	53	0.0
6	Intact	54	0.0
6	Intact	55	0.0
6	Intact	56	0.0
6	Intact	57	0.0
6	Intact	58	0.0
6	Intact	59	0.0
6	Intact	60	0.0
6	Intact	61	0.1
6	Intact	62	0.17500001
6	Intact	63	0.23125002
6	Intact	64	0.2734375
6	Intact	65	0.30507812
6	Intact	66	0.3288086
6	Intact	67	0.34660646
6	Intact	68	0.35995486
6	Intact	69	0.36996615
6	Intact	70	0.37747464
6	Intact	71	0.38310596
6	Intact	72	0.3873295
6	Intact	73	0.39049712
6	Intact	74	0.39287284
6	Intact	75	0.39465466
6	Intact	76	0.395991
6	Intact	77	0.39699325
6	Intact	78	0.39774495
6	Intact	79	0.3983087
6	Intact	80	0.39873153
6	Intact	81	0.39904866
6	Intact	82	0.3992865
6	Intact	83	0.3994649
6	Intact	84	0.3995987
6	Intact	85	0.399699
6	Intact	86	0.39977425
6	Intact	87	0.3998307
6	Intact	88	0.39987305
6	Intact	89	0.3999048
6	Intact	90	0.3999286
6	Intact	91	0.39994645
6	Intact	92	0.39995983
6	Intact	93	0.3999699
6	Intact	94	0.39997745
6	Intact	95	0.39998308
6	Intact	96	0.3999873
6	Intact	97	0.39999047
6	Intact	98	0.39999285
6	Intact	99	0.39999464
6	0.0	0	0.0
6	0.0	1	0.0
6	0.0	2	0.0
6	0.0	3	0.0
6	0.0	4	0.0
6	0.0	5	0.0
6	0.0	6	0.0
6	0.0	7	0.0
6	0.0	8	0.0
6	0.0	9	0.0
6	0.0	10	0.0
6	0.0	11	0.0
6	0.0	12	0.0
6	0.0	13	0.0
6	0.0	14	0.0
6	0.0	15	0.0
6	0.0	16	0.0
6	0.0	17	0.0
6	0.0	18	0.0
6	0.0	19	0.0
6	0.0	20	0.0
6	0.0	21	0.0
6	0.0	22	0.0
6	0.0	23	0.0
6	0.0	24	0.0
6	0.0	25	0.0
6	0.0	26	0.0
6	0.0	27	0.0
6	0.0	28	0.0
6	0.0	29	0.0
6	0.0	30	0.0
6	0.0	31	0.0
6	0.0	32	0.0
6	0.0	33	0.0
6	0.0	34	0.0
6	0.0	35	0.0
6	0.0	36	0.0
6	0.0	37	0.0
6	0.0	38	0.0
6	0.0	39	0.0
6	0.0	40	0.0
6	0.0	41	0.0
6	0.0	42	0.0
6	0.0	43	0.0
6	0.0	44	0.0
6	0.0	45	0.0
6	0.0	46	0.0
6	0.0	47	0.0
6	0.0	48	0.0
6	0.0	49	0.0
6	0.0	50	0.0
6	0.0	51	0.0
6	0.0	52	0.0
6	0.0	53	0.0
6	0.0	54	0.0
6	0.0	55	0.0
6	0.0	56	0.0
6	0.0	57	0.0
6	0.0	58	0.0
6	0.0	59	0.0
6	0.0	60	0.0
6	0.0	61	0.0
6	0.0	62	0.0
6	0.0	63	0.0
6	0.0	64	0.0
6	0.0	65	0.0
6	0.0	66	0.0
6	0.0	67	0.0
6	0.0	68	0.0
6	0.0	69	0.0
6	0.0	70	0.0
6	0.0	71	0.0
6	0.0	72	0.0
6	0.0	73	0.0
6	0.0	74	0.0
6	0.0	75	0.0
6	0.0	76	0.0
6	0.0	77	0.0
6	0.0	78	0.0
6	0.0	79	0.0
6	0.0	80	0.0
6	0.0	81	0.0
6	0.0	82	0.0
6	0.0	83	0.0
6	0.0	84	0.0
6	0.0	85	0.0
6	0.0	86	0.0
6	0.0	87	0.0
6	0.0	88	0.0
6	0.0	89	0.0
6	0.0	90	0.0
6	0.0	91	0.0
6	0.0	92	0.0
6	0.0	93	0.0
6	0.0	94	0.0
6	0.0	95	0.0
6	0.0	96	0.0
6	0.0	97	0.0
6	0.0	98	0.0
6	0.0	99	0.0
6	0.1	0	0.0
6	0.1	1	0.0
6	0.1	2	0.0
6	0.1	3	0.0
6	0.1	4	0.0
6	0.1	5	0.0
6	0.1	6	0.0
6	0.1	7	0.0
6	0.1	8	0.0
6	0.1	9	0.0
6	0.1	10	0.0
6	0.1	11	0.0
6	0.1	12	0.0
6	0.1	13	0.0
6	0.1	14	0.0
6	0.1	15	0.0
6	0.1	16	0.0
6	0.1	17	0.0
6	0.1	18	0.0
6	0.1	19	0.0
6	0.1	20	0.0
6	0.1	21	0.0
6	0.1	22	0.0
6	0.1	23	0.0
6	0.1	24	0.0
6	0.1	25	0.0
6	0.1	26	0.0
6	0.1	27	0.0
6	0.1	28	0.0
6	0.1	29	0.0
6	0.1	30	0.0
6	0.1	31	0.0
6	0.1	32	0.0
6	0.1	33	0.0
6	0.1	34	0.0
6	0.1	35	0.0
6	0.1	36	0.0
6	0.1	37	0.0
6	0.1	38	0.0
6	0.1	39	0.0
6	0.1	40	0.0
6	0.1	41	0.0
6	0.1	42	0.0
6	0.1	43	0.0
6	0.1	44	0.0
6	0.1	45	0.0
6	0.1	46	0.0
6	0.1	47	0.0
6	0.1	48	0.0
6	0.1	49	0.0
6	0.1	50	0.0
6	0.1	51	0.0
6	0.1	52	0.0
6	0.1	53	0.0
6	0.1	54	0.0
6	0.1	55	0.0
6	0.1	56	0.0
6	0.1	57	0.0
6	0.1	58	0.0
6	0.1	59	0.0
6	0.1	60	0.0
6	0.1	61	0.0
6	0.1	62	0.0
6	0.1	63	0.0
6	0.1	64	0.0
6	0.1	65	0.0
6	0.1	66	0.0
6	0.1	67	0.0
6	0.1	68	0.0
6	0.1	69	0.0
6	0.1	70	0.0
6	0.1	71	0.0
6	0.1	72	0.0
6	0.1	73	0.0
6	0.1	74	0.0
6	0.1	75	0.0
6	0.1	76	0.0
6	0.1	77	0.0
6	0.1	78	0.0
6	0.1	79	0.0
6	0.1	80	0.0
6	0.1	81	0.0
6	0.1	82	0.0
6	0.1	83	0.0
6	0.1	84	0.0
6	0.1	85	0.0
6	0.1	86	0.0
6	0.1	87	0.0
6	0.1	88	0.0
6	0.1	89	0.0
6	0.1	90	0.0
6	0.1	91	0.0
6	0.1	92	0.0
6	0.1	93	0.0
6	0.1	94	0.0
6	0.1	95	0.0
6	0.1	96	0.0
6	0.1	97	0.0
6	0.1	98	0.0
6	0.1	99	0.0
6	0.2	0	0.0
6	0.2	1	0.0
6	0.2	2	0.0
6	0.2	3	0.0
6	0.2	4	0.0
6	0.2	5	0.0
6	0.2	6	0.0
6	0.2	7	0.0
6	0.2	8	0.0
6	0.2	9	0.0
6	0.2	10	0.0
6	0.2	11	0.0
6	0.2	12	0.0
6	0.2	13	0.0
6	0.2	14	0.0
6	0.2	15	0.0
6	0.2	16	0.0
6	0.2	17	0.0
6	0.2	18	0.0
6	0.2	19	0.0
6	0.2	20	0.0
6	0.2	21	0.0
6	0.2	22	0.0
6	0.2	23	0.0
6	0.2	24	0.0
6	0.2	25	0.0
6	0.2	26	0.0
6	0.2	27	0.0
6	0.2	28	0.0
6	0.2	29	0.0
6	0.2	30	0.0
6	0.2	31	0.0
6	0.2	32	0.0
6	0.2	33	0.0
6	0.2	34	0.0
6	0.2	35	0.0
6	0.2	36	0.0
6	0.2	37	0.0
6	0.2	38	0.0
6	0.2	39	0.0
6	0.2	40	0.0
6	0.2	41	0.0
6	0.2	42	0.0
6	0.2	43	0.0
6	0.2	44	0.0
6	0.2	45	0.0
6	0.2	46	0.0
6	0.2	47	0.0
6	0.2	48	0.0
6	0.2	49	0.0
6	0.2	50	0.0
6	0.2	51	0.0
6	0.2	52	0.0
6	0.2	53	0.0
6	0.2	54	0.0
6	0.2	55	0.0
6	0.2	56	0.0
6	0.2	57	0.0
6	0.2	58	0.0
6	0.2	59	0.0
6	0.2	60	0.0
6	0.2	61	0.0
6	0.2	62	0.0
6	0.2	63	0.0
6	0.2	64	0.0
6	0.2	65	0.0
6	0.2	66	0.0
6	0.2	67	0.0
6	0.2	68	0.0
6	0.2	69	0.0
6	0.2	70	0.0
6	0.2	71	0.0
6	0.2	72	0.0
6	0.2	73	0.0
6	0.2	74	0.0
6	0.2	75	0.0
6	0.2	76	0.0
6	0.2	77	0.0
6	0.2	78	0.0
6	0.2	79	0.0
6	0.2	80	0.0
6	0.2	81	0.0
6	0.2	82	0.0
6	0.2	83	0.0
6	0.2	84	0.0
6	0.2	85	0.0
6	0.2	86	0.0
6	0.2	87	0.0
6	0.2	88	0.0
6	0.2	89	0.0
6	0.2	90	0.0
6	0.2	91	0.0
6	0.2	92	0.0
6	0.2	93	0.0
6	0.2	94	0.0
6	0.2	95	0.0
6	0.2	96	0.0
6	0.2	97	0.0
6	0.2	98	0.0
6	0.2	99	0.0
6	0.3	0	0.0
6	0.3	1	0.0
6	0.3	2	0.0
6	0.3	3	0.0
6	0.3	4	0.0
6	0.3	5	0.0
6	0.3	6	0.0
6	0.3	7	0.0
6	0.3	8	0.0
6	0.3	9	0.0
6	0.3	10	0.0
6	0.3	11	0.0
6	0.3	12	0.0
6	0.3	13	0.0
6	0.3	14	0.0
6	0.3	15	0.0
6	0.3	16	0.0
6	0.3	17	0.0
6	0.3	18	0.0
6	0.3	19	0.0
6	0.3	20	0.0
6	0.3	21	0.0
6	0.3	22	0.0
6	0.3	23	0.0
6	0.3	24	0.0
6	0.3	25	0.0
6	0.3	26	0.0
6	0.3	27	0.0
6	0.3	28	0.0
6	0.3	29	0.0
6	0.3	30	0.0
6	0.3	31	0.0
6	0.3	32	0.0
6	0.3	33	0.0
6	0.3	34	0.0
6	0.3	35	0.0
6	0.3	36	0.0
6	0.3	37	0.0
6	0.3	38	0.0
6	0.3	39	0.0
6	0.3	40	0.0
6	0.3	41	0.0
6	0.3	42	0.0
6	0.3	43	0.0
6	0.3	44	0.0
6	0.3	45	0.0
6	0.3	46	0.0
6	0.3	47	0.0
6	0.3	48	0.0
6	0.3	49	0.0
6	0.3	50	0.0
6	0.3	51	0.0
6	0.3	52	0.0
6	0.3	53	0.0
6	0.3	54	0.0
6	0.3	55	0.0
6	0.3	56	0.0
6	0.3	57	0.0
6	0.3	58	0.0
6	0.3	59	0.0
6	0.3	60	0.0
6	0.3	61	0.0
6	0.3	62	0.0
6	0.3	63	0.0
6	0.3	64	0.0
6	0.3	65	0.0
6	0.3	66	0.0
6	0.3	67	0.1
6	0.3	68	0.17500001
6	0.3	69	0.23125002
6	0.3	70	0.2734375
6	0.3	71	0.30507812
6	0.3	72	0.3288086
6	0.3	73	0.34660646
6	0.3	74	0.35995486
6	0.3	75	0.36996615
6	0.3	76	0.37747464
6	0.3	77	0.38310596
6	0.3	78	0.3873295
6	0.3	79	0.39049712
6	0.3	80	0.39287284
6	0.3	81	0.39465466
6	0.3	82	0.395991
6	0.3	83	0.39699325
6	0.3	84	0.39774495
6	0.3	85	0.3983087
6	0.3	86	0.39873153
6	0.3	87	0.39904866
6	0.3	88	0.3992865
6	0.3	89	0.3994649
6	0.3	90	0.3995987
6	0.3	91	0.399699
6	0.3	92	0.39977425
6	0.3	93	0.3998307
6	0.3	94	0.39987305
6	0.3	95	0.3999048
6	0.3	96	0.3999286
6	0.3	97	0.39994645
6	0.3	98	0.39995983
6	0.3	99	0.3999699
6	0.4	0	0.0
6	0.4	1	0.0
6	0.4	2	0.0
6	0.4	3	0.0
6	0.4	4	0.0
6	0.4	5	0.0
6	0.4	6	0.0
6	0.4	7	0.0
6	0.4	8	0.0
6	0.4	9	0.0
6	0.4	10	0.0
6	0.4	11	0.0
6	0.4	12	0.0
6	0.4	13	0.0
6	0.4	14	0.0
6	0.4	15	0.0
6	0.4	16	0.0
6	0.4	17	0.0
6	0.4	18	0.0
6	0.4	19	0.0
6	0.4	20	0.0
6	0.4	21	0.0
6	0.4	22	0.0
6	0.4	23	0.0
6	0.4	24	0.0
6	0.4	25	0.0
6	0.4	26	0.0
6	0.4	27	0.0
6	0.4	28	0.0
6	0.4	29	0.0
6	0.4	30	0.0
6	0.4	31	0.0
6	0.4	32	0.0
6	0.4	33	0.0
6	0.4	34	0.0
6	0.4	35	0.0
6	0.4	36	0.0
6	0.4	37	0.0
6	0.4	38	0.0
6	0.4	39	0.0
6	0.4	40	0.0
6	0.4	41	0.0
6	0.4	42	0.0
6	0.4	43	0.0
6	0.4	44	0.0
6	0.4	45	0.0
6	0.4	46	0.0
6	0.4	47	0.0
6	0.4	48	0.0
6	0.4	49	0.0
6	0.4	50	0.0
6	0.4	51	0.0
6	0.4	52	0.0
6	0.4	53	0.0
6	0.4	54	0.0
6	0.4	55	0.0
6	0.4	56	0.0
6	0.4	57	0.0
6	0.4	58	0.0
6	0.4	59	0.0
6	0.4	60	0.0
6	0.4	61	0.0
6	0.4	62	0.0
6	0.4	63	0.0
6	0.4	64	0.0
6	0.4	65	0.1
6	0.4	66	0.17500001
6	0.4	67	0.23125002
6	0.4	68	0.2734375
6	0.4	69	0.30507812
6	0.4	70	0.3288086
6	0.4	71	0.34660646
6	0.4	72	0.35995486
6	0.4	73	0.36996615
6	0.4	74	0.37747464
6	0.4	75	0.38310596
6	0.4	76	0.3873295
6	0.4	77	0.39049712
6	0.4	78	0.39287284
6	0.4	79	0.39465466
6	0.4	80	0.395991
6	0.4	81	0.39699325
6	0.4	82	0.39774495
6	0.4	83	0.3983087
6	0.4	84	0.39873153
6	0.4	85	0.39904866
6	0.4	86	0.3992865
6	0.4	87	0.3994649
6	0.4	88	0.3995987
6	0.4	89	0.399699
6	0.4	90	0.39977425
6	0.4	91	0.3998307
6	0.4	92	0.39987305
6	0.4	93	0.3999048
6	0.4	94	0.3999286
6	0.4	95	0.39994645
6	0.4	96	0.39995983
6	0.4	97	0.3999699
6	0.4	98	0.39997745
6	0.4	99	0.39998308
6	0.5	0	0.0
6	0.5	1	0.0
6	0.5	2	0.0
6	0.5	3	0.0
6	0.5	4	0.0
6	0.5	5	0.0
6	0.5	6	0.0
6	0.5	7	0.0
6	0.5	8	0.0
6	0.5	9	0.0
6	0.5	10	0.0
6	0.5	11	0.0
6	0.5	12	0.0
6	0.5	13	0.0
6	0.5	14	0.0
6	0.5	15	0.0
6	0.5	16	0.0
6	0.5	17	0.0
6	0.5	18	0.0
6	0.5	19	0.0
6	0.5	20	0.0
6	0.5	21	0.0
6	0.5	22	0.0
6	0.5	23	0.0
6	0.5	24	0.0
6	0.5	25	0.0
6	0.5	26	0.0
6	0.5	27	0.0
6	0.5	28	0.0
6	0.5	29	0.0
6	0.5	30	0.0
6	0.5	31	0.0
6	0.5	32	0.0
6	0.5	33	0.0
6	0.5	34	0.0
6	0.5	35	0.0
6	0.5	36	0.0
6	0.5	37	0.0
6	0.5	38	0.0
6	0.5	39	0.0
6	0.5	40	0.0
6	0.5	41	0.0
6	0.5	42	0.0
6	0.5	43	0.0
6	0.5	44	0.0
6	0.5	45	0.0
6	0.5	46	0.0
6	0.5	47	0.0
6	0.5	48	0.0
6	0.5	49	0.0
6	0.5	50	0.0
6	0.5	51	0.0
6	0.5	52	0.0
6	0.5	53	0.0
6	0.5	54	0.0
6	0.5	55	0.0
6	0.5	56	0.0
6	0.5	57	0.0
6	0.5	58	0.0
6	0.5	59	0.0
6	0.5	60	0.0
6	0.5	61	0.0
6	0.5	62	0.0
6	0.5	63	0.0
6	0.5	64	0.1
6	0.5	65	0.17500001
6	0.5	66	0.23125002
6	0.5	67	0.2734375
6	0.5	68	0.30507812
6	0.5	69	0.3288086
6	0.5	70	0.34660646
6	0.5	71	0.35995486
6	0.5	72	0.36996615
6	0.5	73	0.37747464
6	0.5	74	0.38310596
6	0.5	75	0.3873295
6	0.5	76	0.39049712
6	0.5	77	0.39287284
6	0.5	78	0.39465466
6	0.5	79	0.395991
6	0.5	80	0.39699325
6	0.5	81	0.39774495
6	0.5	82	0.3983087
6	0.5	83	0.39873153
6	0.5	84	0.39904866
6	0.5	85	0.3992865
6	0.5	86	0.3994649
6	0.5	87	0.3995987
6	0.5	88	0.399699
6	0.5	89	0.39977425
6	0.5	90	0.3998307
6	0.5	91	0.39987305
6	0.5	92	0.3999048
6	0.5	93	0.3999286
6	0.5	94	0.39994645
6	0.5	95	0.39995983
6	0.5	96	0.3999699
6	0.5	97	0.39997745
6	0.5	98	0.39998308
6	0.5	99	0.3999873
6	0.6	0	0.0
6	0.6	1	0.0
6	0.6	2	0.0
6	0.6	3	0.0
6	0.6	4	0.0
6	0.6	5	0.0
6	0.6	6	0.0
6	0.6	7	0.0
6	0.6	8	0.0
6	0.6	9	0.0
6	0.6	10	0.0
6	0.6	11	0.0
6	0.6	12	0.0
6	0.6	13	0.0
6	0.6	14	0.0
6	0.6	15	0.0
6	0.6	16	0.0
6	0.6	17	0.0
6	0.6	18	0.0
6	0.6	19	0.0
6	0.6	20	0.0
6	0.6	21	0.0
6	0.6	22	0.0
6	0.6	23	0.0
6	0.6	24	0.0
6	0.6	25	0.0
6	0.6	26	0.0
6	0.6	27	0.0
6	0.6	28	0.0
6	0.6	29	0.0
6	0.6	30	0.0
6	0.6	31	0.0
6	0.6	32	0.0
6	0.6	33	0.0
6	0.6	34	0.0
6	0.6	35	0.0
6	0.6	36	0.0
6	0.6	37	0.0
6	0.6	38	0.0
6	0.6	39	0.0
6	0.6	40	0.0
6	0.6	41	0.0
6	0.6	42	0.0
6	0.6	43	0.0
6	0.6	44	0.0
6	0.6	45	0.0
6	0.6	46	0.0
6	0.6	47	0.0
6	0.6	48	0.0
6	0.6	49	0.0
6	0.6	50	0.0
6	0.6	51	0.0
6	0.6	52	0.0
6	0.6	53	0.0
6	0.6	54	0.0
6	0.6	55	0.0
6	0.6	56	0.0
6	0.6	57	0.0
6	0.6	58	0.0
6	0.6	59	0.0
6	0.6	60	0.0
6	0.6	61	0.0
6	0.6	62	0.0
6	0.6	63	0.1
6	0.6	64	0.17500001
6	0.6	65	0.23125002
6	0.6	66	0.2734375
6	0.6	67	0.30507812
6	0.6	68	0.3288086
6	0.6	69	0.34660646
6	0.6	70	0.35995486
6	0.6	71	0.36996615
6	0.6	72	0.37747464
6	0.6	73	0.38310596
6	0.6	74	0.3873295
6	0.6	75	0.39049712
6	0.6	76	0.39287284
6	0.6	77	0.39465466
6	0.6	78	0.395991
6	0.6	79	0.39699325
6	0.6	80	0.39774495
6	0.6	81	0.3983087
6	0.6	82	0.39873153
6	0.6	83	0.39904866
6	0.6	84	0.3992865
6	0.6	85	0.3994649
6	0.6	86	0.3995987
6	0.6	87	0.399699
6	0.6	88	0.39977425
6	0.6	89	0.3998307
6	0.6	90	0.39987305
6	0.6	91	0.3999048
6	0.6	92	0.3999286
6	0.6	93	0.39994645
6	0.6	94	0.39995983
6	0.6	95	0.3999699
6	0.6	96	0.39997745
6	0.6	97	0.39998308
6	0.6	98	0.3999873
6	0.6	99	0.39999047
6	0.7	0	0.0
6	0.7	1	0.0
6	0.7	2	0.0
6	0.7	3	0.0
6	0.7	4	0.0
6	0.7	5	0.0
6	0.7	6	0.0
6	0.7	7	0.0
6	0.7	8	0.0
6	0.7	9	0.0
6	0.7	10	0.0
6	0.7	11	0.0
6	0.7	12	0.0
6	0.7	13	0.0
6	0.7	14	0.0
6	0.7	15	0.0
6	0.7	16	0.0
6	0.7	17	0.0
6	0.7	18	0.0
6	0.7	19	0.0
6	0.7	20	0.0
6	0.7	21	0.0
6	0.7	22	0.0
6	0.7	23	0.0
6	0.7	24	0.0
6	0.7	25	0.0
6	0.7	26	0.0
6	0.7	27	0.0
6	0.7	28	0.0
6	0.7	29	0.0
6	0.7	30	0.0
6	0.7	31	0.0
6	0.7	32	0.0
6	0.7	33	0.0
6	0.7	34	0.0
6	0.7	35	0.0
6	0.7	36	0.0
6	0.7	37	0.0
6	0.7	38	0.0
6	0.7	39	0.0
6	0.7	40	0.0
6	0.7	41	0.0
6	0.7	42	0.0
6	0.7	43	0.0
6	0.7	44	0.0
6	0.7	45	0.0
6	0.7	46	0.0
6	0.7	47	0.0
6	0.7	48	0.0
6	0.7	49	0.0
6	0.7	50	0.0
6	0.7	51	0.0
6	0.7	52	0.0
6	0.7	53	0.0
6	0.7	54	0.0
6	0.7	55	0.0
6	0.7	56	0.0
6	0.7	57	0.0
6	0.7	58	0.0
6	0.7	59	0.0
6	0.7	60	0.0
6	0.7	61	0.0
6	0.7	62	0.0
6	0.7	63	0.1
6	0.7	64	0.17500001
6	0.7	65	0.23125002
6	0.7	66	0.2734375
6	0.7	67	0.30507812
6	0.7	68	0.3288086
6	0.7	69	0.34660646
6	0.7	70	0.35995486
6	0.7	71	0.36996615
6	0.7	72	0.37747464
6	0.7	73	0.38310596
6	0.7	74	0.3873295
6	0.7	75	0.39049712
6	0.7	76	0.39287284
6	0.7	77	0.39465466
6	0.7	78	0.395991
6	0.7	79	0.39699325
6	0.7	80	0.39774495
6	0.7	81	0.3983087
6	0.7	82	0.39873153
6	0.7	83	0.39904866
6	0.7	84	0.3992865
6	0.7	85	0.3994649
6	0.7	86	0.3995987
6	0.7	87	0.399699
6	0.7	88	0.39977425
6	0.7	89	0.3998307
6	0.7	90	0.39987305
6	0.7	91	0.3999048
6	0.7	92	0.3999286
6	0.7	93	0.39994645
